branch_id,branch_name,category_master_id,category_master_name,academic_year_id,academic_year_name,section_id,section_name,grade_id,grade_name,class_id,class_name
1,Panadura,1,Edexcel,1,2025/2026,1,Pre School,1,Play Group,1,Play Group
1,Panadura,1,Edexcel,1,2025/2026,1,Pre School,2,Kindergarten 1,2,1A
1,Panadura,1,Edexcel,1,2025/2026,1,Pre School,2,Kindergarten 1,3,1B
1,Panadura,1,Edexcel,1,2025/2026,1,Pre School,2,Kindergarten 1,4,1C
1,Panadura,1,Edexcel,1,2025/2026,1,Pre School,2,Kindergarten 1,5,1D
1,Panadura,1,Edexcel,1,2025/2026,1,Pre School,2,Kindergarten 1,6,1E
1,Panadura,1,Edexcel,1,2025/2026,1,Pre School,3,Kindergarten 2,7,2A
1,Panadura,1,Edexcel,1,2025/2026,1,Pre School,3,Kindergarten 2,8,2B
1,Panadura,1,Edexcel,1,2025/2026,1,Pre School,3,Kindergarten 2,9,2C
1,Panadura,1,Edexcel,1,2025/2026,1,Pre School,3,Kindergarten 2,10,2D
1,Panadura,1,Edexcel,1,2025/2026,1,Pre School,3,Kindergarten 2,11,2E
1,Panadura,1,Edexcel,1,2025/2026,2,Primary 1-3,4,Primary 01,12,1A
1,Panadura,1,Edexcel,1,2025/2026,2,Primary 1-3,4,Primary 01,13,1B
1,Panadura,1,Edexcel,1,2025/2026,2,Primary 1-3,4,Primary 01,14,1C
1,Panadura,1,Edexcel,1,2025/2026,2,Primary 1-3,4,Primary 01,15,1D
1,Panadura,1,Edexcel,1,2025/2026,2,Primary 1-3,4,Primary 01,16,1E
1,Panadura,1,Edexcel,1,2025/2026,2,Primary 1-3,5,Primary 02,22,2A
1,Panadura,1,Edexcel,1,2025/2026,2,Primary 1-3,5,Primary 02,23,2B
1,Panadura,1,Edexcel,1,2025/2026,2,Primary 1-3,5,Primary 02,24,2C
1,Panadura,1,Edexcel,1,2025/2026,2,Primary 1-3,5,Primary 02,25,2D
1,Panadura,1,Edexcel,1,2025/2026,2,Primary 1-3,5,Primary 02,26,2E
1,Panadura,1,Edexcel,1,2025/2026,2,Primary 1-3,6,Primary 03,27,3A
1,Panadura,1,Edexcel,1,2025/2026,2,Primary 1-3,6,Primary 03,28,3B
1,Panadura,1,Edexcel,1,2025/2026,2,Primary 1-3,6,Primary 03,29,3C
1,Panadura,1,Edexcel,1,2025/2026,2,Primary 1-3,6,Primary 03,30,3D
1,Panadura,1,Edexcel,1,2025/2026,3,Primary 4-5,7,Primary 04,31,4A
1,Panadura,1,Edexcel,1,2025/2026,3,Primary 4-5,7,Primary 04,32,4B
1,Panadura,1,Edexcel,1,2025/2026,3,Primary 4-5,7,Primary 04,33,4C
1,Panadura,1,Edexcel,1,2025/2026,3,Primary 4-5,8,Primary 05,34,5A
1,Panadura,1,Edexcel,1,2025/2026,3,Primary 4-5,8,Primary 05,35,5B
1,Panadura,1,Edexcel,1,2025/2026,3,Primary 4-5,8,Primary 05,36,5C
1,Panadura,1,Edexcel,1,2025/2026,4,Form 1-3,9,Form 01,37,1A
1,Panadura,1,Edexcel,1,2025/2026,4,Form 1-3,9,Form 01,38,1B
1,Panadura,1,Edexcel,1,2025/2026,4,Form 1-3,10,Form 02,39,2A
1,Panadura,1,Edexcel,1,2025/2026,4,Form 1-3,10,Form 02,40,2B
1,Panadura,1,Edexcel,1,2025/2026,4,Form 1-3,11,Form 03,41,3A
1,Panadura,1,Edexcel,1,2025/2026,4,Form 1-3,11,Form 03,42,3B
1,Panadura,1,Edexcel,1,2025/2026,5,Form 4-7,12,Form 04,43,Science A
1,Panadura,1,Edexcel,1,2025/2026,5,Form 4-7,12,Form 04,44,Science B
1,Panadura,1,Edexcel,1,2025/2026,5,Form 4-7,12,Form 04,45,Commerce
1,Panadura,1,Edexcel,1,2025/2026,5,Form 4-7,13,Form 05,46,Science
1,Panadura,1,Edexcel,1,2025/2026,5,Form 4-7,13,Form 05,47,Commerce
1,Panadura,1,Edexcel,1,2025/2026,5,Form 4-7,14,Form 06,48,Science
1,Panadura,1,Edexcel,1,2025/2026,5,Form 4-7,14,Form 06,49,Commerce
1,Panadura,1,Edexcel,1,2025/2026,5,Form 4-7,15,Form 07,50,Science
1,Panadura,1,Edexcel,1,2025/2026,10,Form 4-7,34,Grade 09,99,Grade 09
1,Panadura,1,Edexcel,1,2025/2026,10,Form 4-7,35,Grade 10,100,Grade 10
1,Panadura,1,Edexcel,1,2025/2026,10,Form 4-7,36,Grade 12,101,Grade 12
1,Panadura,2,Local,2,2025/2026,1,Pre School,1,Play Group,1,Play Group
1,Panadura,2,Local,2,2025/2026,1,Pre School,2,Kindergarten 1,2,1A
1,Panadura,2,Local,2,2025/2026,1,Pre School,2,Kindergarten 1,3,1B
1,Panadura,2,Local,2,2025/2026,1,Pre School,2,Kindergarten 1,4,1C
1,Panadura,2,Local,2,2025/2026,1,Pre School,2,Kindergarten 1,5,1D
1,Panadura,2,Local,2,2025/2026,1,Pre School,2,Kindergarten 1,6,1E
1,Panadura,2,Local,2,2025/2026,1,Pre School,3,Kindergarten 2,7,2A
1,Panadura,2,Local,2,2025/2026,1,Pre School,3,Kindergarten 2,8,2B
1,Panadura,2,Local,2,2025/2026,1,Pre School,3,Kindergarten 2,9,2C
1,Panadura,2,Local,2,2025/2026,1,Pre School,3,Kindergarten 2,10,2D
1,Panadura,2,Local,2,2025/2026,1,Pre School,3,Kindergarten 2,11,2E
1,Panadura,2,Local,2,2025/2026,2,Primary 1-3,4,Primary 01,12,1A
1,Panadura,2,Local,2,2025/2026,2,Primary 1-3,4,Primary 01,13,1B
1,Panadura,2,Local,2,2025/2026,2,Primary 1-3,4,Primary 01,14,1C
1,Panadura,2,Local,2,2025/2026,2,Primary 1-3,4,Primary 01,15,1D
1,Panadura,2,Local,2,2025/2026,2,Primary 1-3,4,Primary 01,16,1E
1,Panadura,2,Local,2,2025/2026,2,Primary 1-3,5,Primary 02,22,2A
1,Panadura,2,Local,2,2025/2026,2,Primary 1-3,5,Primary 02,23,2B
1,Panadura,2,Local,2,2025/2026,2,Primary 1-3,5,Primary 02,24,2C
1,Panadura,2,Local,2,2025/2026,2,Primary 1-3,5,Primary 02,25,2D
1,Panadura,2,Local,2,2025/2026,2,Primary 1-3,5,Primary 02,26,2E
1,Panadura,2,Local,2,2025/2026,2,Primary 1-3,6,Primary 03,27,3A
1,Panadura,2,Local,2,2025/2026,2,Primary 1-3,6,Primary 03,28,3B
1,Panadura,2,Local,2,2025/2026,2,Primary 1-3,6,Primary 03,29,3C
1,Panadura,2,Local,2,2025/2026,2,Primary 1-3,6,Primary 03,30,3D
1,Panadura,2,Local,2,2025/2026,3,Primary 4-5,7,Primary 04,31,4A
1,Panadura,2,Local,2,2025/2026,3,Primary 4-5,7,Primary 04,32,4B
1,Panadura,2,Local,2,2025/2026,3,Primary 4-5,7,Primary 04,33,4C
1,Panadura,2,Local,2,2025/2026,3,Primary 4-5,8,Primary 05,34,5A
1,Panadura,2,Local,2,2025/2026,3,Primary 4-5,8,Primary 05,35,5B
1,Panadura,2,Local,2,2025/2026,3,Primary 4-5,8,Primary 05,36,5C
1,Panadura,2,Local,2,2025/2026,4,Form 1-3,9,Form 01,37,1A
1,Panadura,2,Local,2,2025/2026,4,Form 1-3,9,Form 01,38,1B
1,Panadura,2,Local,2,2025/2026,4,Form 1-3,10,Form 02,39,2A
1,Panadura,2,Local,2,2025/2026,4,Form 1-3,10,Form 02,40,2B
1,Panadura,2,Local,2,2025/2026,4,Form 1-3,11,Form 03,41,3A
1,Panadura,2,Local,2,2025/2026,4,Form 1-3,11,Form 03,42,3B
1,Panadura,2,Local,2,2025/2026,5,Form 4-7,12,Form 04,43,Science A
1,Panadura,2,Local,2,2025/2026,5,Form 4-7,12,Form 04,44,Science B
1,Panadura,2,Local,2,2025/2026,5,Form 4-7,12,Form 04,45,Commerce
1,Panadura,2,Local,2,2025/2026,5,Form 4-7,13,Form 05,46,Science
